Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U661,C0008031,4,17,0,183,24,0,30,7,39,1,0,4,4,0,0,0,0,0.01,0.05,0,0.58,0.08,0,0.1,0.02,0.12,0.0,0,0.01,0.01,0,0,0,0
U375,C0011991,11,38,0,377,78,0,50,19,34,0,0,1,1,1,0,0,0,0.02,0.06,0,0.62,0.13,0,0.08,0.03,0.06,0,0,0.0,0.0,0.0,0,0,0
U516,C0020429,12,13,0,98,14,0,5,3,5,0,0,2,1,1,0,0,0,0.08,0.08,0,0.64,0.09,0,0.03,0.02,0.03,0,0,0.01,0.01,0.01,0,0,0
U629,C0011991,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0
U612,C0231835,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
U952,C0030193,3,0,0,34,3,0,3,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.79,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0
U711,C0020429,2,2,0,17,3,0,0,0,2,0,0,0,0,0,0,0,0,0.08,0.08,0,0.65,0.12,0,0,0,0.08,0,0,0,0,0,0,0,0
U793,C0037317,0,4,0,11,4,0,5,2,3,0,0,0,2,2,0,0,0,0,0.12,0,0.33,0.12,0,0.15,0.06,0.09,0,0,0,0.06,0.06,0,0,0
U679,C0032285,13,14,0,398,72,0,77,29,106,0,1,6,8,6,0,0,0,0.02,0.02,0,0.55,0.1,0,0.11,0.04,0.15,0,0.0,0.01,0.01,0.01,0,0,0
U242,C0020429,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.67,0,0,0.17,0,0,0,0,0,0,0,0,0,0
U721,C0542476,1,13,0,102,15,0,15,14,24,1,1,0,2,0,0,0,0,0.01,0.07,0,0.54,0.08,0,0.08,0.07,0.13,0.01,0.01,0,0.01,0,0,0,0
U382,C0020429,30,32,0,309,44,0,43,18,39,0,1,0,1,1,0,0,0,0.06,0.06,0,0.6,0.08,0,0.08,0.03,0.08,0,0.0,0,0.0,0.0,0,0,0
U360,C0011991,14,30,0,282,60,0,27,14,22,0,0,0,0,0,0,0,0,0.03,0.07,0,0.63,0.13,0,0.06,0.03,0.05,0,0,0,0,0,0,0,0
U440,C0030193,14,36,0,330,45,0,31,11,25,0,0,1,2,1,0,0,0,0.03,0.07,0,0.67,0.09,0,0.06,0.02,0.05,0,0,0.0,0.0,0.0,0,0,0
U201,C0020429,25,27,0,279,48,0,25,9,24,0,0,2,2,2,0,0,0,0.06,0.06,0,0.63,0.11,0,0.06,0.02,0.05,0,0,0.0,0.0,0.0,0,0,0
U164,C0032285,11,8,0,246,32,0,44,18,65,1,0,0,3,3,0,1,1,0.03,0.02,0,0.57,0.07,0,0.1,0.04,0.15,0.0,0,0,0.01,0.01,0,0.0,0.0
U484,C0010200,2,28,0,261,60,1,47,22,71,0,0,1,7,3,0,0,0,0.0,0.06,0,0.52,0.12,0.0,0.09,0.04,0.14,0,0,0.0,0.01,0.01,0,0,0
U262,C0011991,7,16,0,124,34,0,14,10,17,1,0,1,0,0,0,0,0,0.03,0.07,0,0.55,0.15,0,0.06,0.04,0.08,0.0,0,0.0,0,0,0,0,0
U852,C0010200,0,3,0,64,12,0,13,4,11,0,0,0,0,0,0,0,0,0,0.03,0,0.6,0.11,0,0.12,0.04,0.1,0,0,0,0,0,0,0,0
