Drug,gene_num_total,gene_num_in_graph
DB08804,12,12
DB08814,4,4
DB08815,6,6
DB08816,1,1
DB08818,15,15
DB08819,1,1
DB08820,1,1
DB08822,1,1
DB08827,1,1
DB08828,1,1
DB08860,2,2
DB08867,3,3
DB08868,7,7
DB08869,1,1
DB08870,1,1
DB08871,2,2
DB08872,3,3
DB08875,3,3
DB08877,5,5
DB08879,1,1
DB08880,2,2
DB08881,1,1
DB08882,1,1
DB08883,4,4
DB08885,3,3
DB08888,3,3
DB08889,6,6
DB08890,1,1
DB08893,2,2
DB08894,1,1
DB08895,4,4
DB08896,18,18
DB08897,5,5
DB08899,1,1
DB08901,15,15
DB08904,1,1
DB08906,3,3
DB08907,1,1
DB08908,2,2
DB08910,3,3
